,sentiments_x2
0,Not Valid
1,Not Valid
2,0.9498715400695801
3,Not Valid
4,0.9396771192550659
5,Not Valid
6,0.9370135068893433
7,Not Valid
8,Not Valid
9,Not Valid
10,0.9623323082923889
11,0.1312670111656189
12,0.04255357384681702
13,0.12978586554527283
14,Not Valid
15,0.03715473413467407
16,0.7715597152709961
17,Not Valid
18,Not Valid
19,Not Valid
20,Not Valid
21,0.040289491415023804
22,Not Valid
23,Not Valid
24,0.5
25,0.5
26,0.033173322677612305
27,Not Valid
28,0.08789518475532532
29,Not Valid
30,0.026925116777420044
31,Not Valid
32,Not Valid
33,0.031197458505630493
34,Not Valid
35,0.9681780338287354
36,Not Valid
37,Not Valid
38,Not Valid
39,0.11138916015625
40,Not Valid
41,0.01830431818962097
42,Not Valid
43,0.9457709789276123
44,0.8773174285888672
45,0.17711076140403748
46,Not Valid
47,0.024501442909240723
48,Not Valid
49,Not Valid
50,0.9138594269752502
51,0.08906182646751404
52,Not Valid
53,0.0447482168674469
54,0.026159971952438354
55,Not Valid
56,Not Valid
57,0.06357860565185547
58,0.9950556755065918
59,0.03022143244743347
60,Not Valid
61,Not Valid
62,0.24210363626480103
63,Not Valid
64,Not Valid
65,0.0699341893196106
66,0.8351030945777893
67,Not Valid
68,Not Valid
69,Not Valid
70,0.7947932481765747
71,Not Valid
72,0.9040795564651489
73,Not Valid
74,0.9781007170677185
75,0.8640461564064026
76,Not Valid
77,Not Valid
78,Not Valid
79,0.06543228030204773
80,Not Valid
81,0.061512500047683716
82,0.19712957739830017
83,Not Valid
84,Not Valid
85,0.09173977375030518
86,Not Valid
87,0.16246524453163147
88,0.7754425406455994
89,Not Valid
90,Not Valid
91,Not Valid
92,0.21733099222183228
93,0.7704226970672607
94,Not Valid
95,0.9118151664733887
96,0.13652640581130981
97,Not Valid
98,0.9231287837028503
99,Not Valid
100,0.9429023265838623
101,0.18838965892791748
102,Not Valid
103,0.1703890860080719
104,Not Valid
105,Not Valid
106,0.9050673246383667
107,0.8085349798202515
108,Not Valid
