,0
0,Not Valid
1,0.26721882820129395
2,Not Valid
3,0.0898301899433136
4,0.08815672993659973
5,Not Valid
6,0.9162952899932861
7,0.850166916847229
8,0.7856866121292114
9,0.06837916374206543
10,0.9623323082923889
11,0.1633211374282837
12,0.015663623809814453
13,0.2637617886066437
14,Not Valid
15,Not Valid
16,Not Valid
17,Not Valid
18,0.04073259234428406
19,0.0712289810180664
20,0.004492580890655518
21,Not Valid
22,Not Valid
23,Not Valid
24,Not Valid
25,Not Valid
26,0.06383126974105835
27,0.884347677230835
28,Not Valid
29,Not Valid
30,0.05020642280578613
31,0.5
32,0.03187459707260132
33,Not Valid
34,0.775841236114502
35,Not Valid
36,0.5
37,Not Valid
38,0.024501442909240723
39,0.09997665882110596
40,0.8860543966293335
41,0.02617916464805603
42,0.12198489904403687
43,Not Valid
44,0.9608564376831055
45,Not Valid
46,Not Valid
47,0.21594533324241638
48,Not Valid
49,0.24763262271881104
50,Not Valid
51,Not Valid
52,Not Valid
53,0.5
54,Not Valid
55,0.9664678573608398
56,0.7601486444473267
57,0.7947208881378174
58,Not Valid
59,0.2399573028087616
60,Not Valid
61,Not Valid
62,0.09906530380249023
63,0.7891508340835571
64,0.5
65,Not Valid
66,Not Valid
67,0.2573501169681549
68,Not Valid
69,0.07779872417449951
70,0.1526973843574524
71,0.7226042151451111
72,Not Valid
73,0.24464058876037598
74,Not Valid
75,0.9509168267250061
76,0.11236599087715149
77,Not Valid
78,0.06827312707901001
79,Not Valid
80,0.11547967791557312
81,Not Valid
82,0.7696678042411804
83,Not Valid
84,Not Valid
85,Not Valid
86,0.03683391213417053
87,Not Valid
88,0.24265187978744507
89,0.7936580777168274
90,0.04424077272415161
91,Not Valid
92,0.10206639766693115
93,Not Valid
94,Not Valid
95,0.8827036023139954
96,Not Valid
97,Not Valid
98,Not Valid
99,0.5
100,Not Valid
101,0.5
102,0.09040564298629761
103,Not Valid
104,0.8795346021652222
105,Not Valid
106,0.19445887207984924
107,Not Valid
108,0.5
109,0.9476184248924255
110,0.08726000785827637
111,0.7721863985061646
112,Not Valid
113,0.13869065046310425
114,0.09112921357154846
115,Not Valid
116,0.7263826727867126
117,0.12981408834457397
118,Not Valid
119,0.993338942527771
120,0.16813644766807556
121,Not Valid
122,Not Valid
123,Not Valid
124,Not Valid
125,Not Valid
126,0.12700733542442322
127,0.973244309425354
128,Not Valid
129,0.5
130,0.10972470045089722
131,Not Valid
132,Not Valid
133,Not Valid
134,Not Valid
135,0.5
136,Not Valid
137,Not Valid
138,0.08538344502449036
139,0.7852374911308289
140,0.06162789463996887
141,0.932923436164856
142,Not Valid
143,0.11046549677848816
144,Not Valid
