,sentiments_y
0,Not Valid
1,0.19904792308807373
2,Not Valid
3,Not Valid
4,Not Valid
5,Not Valid
6,0.9370135068893433
7,Not Valid
8,Not Valid
9,Not Valid
10,Not Valid
11,0.1975744664669037
12,Not Valid
13,0.2637617886066437
14,Not Valid
15,Not Valid
16,Not Valid
17,Not Valid
18,Not Valid
19,Not Valid
20,Not Valid
21,Not Valid
22,Not Valid
23,0.05875849723815918
24,Not Valid
25,Not Valid
26,Not Valid
27,Not Valid
28,Not Valid
29,Not Valid
30,0.5
31,Not Valid
32,Not Valid
33,Not Valid
34,Not Valid
35,Not Valid
36,Not Valid
37,Not Valid
38,Not Valid
39,Not Valid
40,Not Valid
41,Not Valid
42,Not Valid
43,Not Valid
44,Not Valid
45,Not Valid
46,Not Valid
47,Not Valid
48,Not Valid
49,Not Valid
50,Not Valid
51,Not Valid
52,Not Valid
53,Not Valid
54,Not Valid
55,Not Valid
56,Not Valid
57,Not Valid
58,Not Valid
59,Not Valid
60,Not Valid
61,Not Valid
62,Not Valid
63,Not Valid
64,Not Valid
65,Not Valid
66,Not Valid
67,Not Valid
68,0.08368879556655884
69,Not Valid
70,Not Valid
71,0.5
72,Not Valid
73,Not Valid
74,Not Valid
75,Not Valid
76,Not Valid
77,Not Valid
78,Not Valid
79,Not Valid
80,Not Valid
81,Not Valid
82,Not Valid
83,Not Valid
84,Not Valid
85,Not Valid
86,Not Valid
87,Not Valid
88,Not Valid
89,Not Valid
90,Not Valid
91,Not Valid
92,Not Valid
93,Not Valid
94,Not Valid
95,Not Valid
96,Not Valid
97,Not Valid
98,Not Valid
99,Not Valid
100,Not Valid
101,Not Valid
102,Not Valid
103,Not Valid
104,Not Valid
105,Not Valid
106,Not Valid
107,Not Valid
108,Not Valid
109,Not Valid
110,Not Valid
111,Not Valid
112,Not Valid
113,Not Valid
114,Not Valid
115,Not Valid
116,Not Valid
117,Not Valid
118,Not Valid
119,Not Valid
120,Not Valid
121,Not Valid
122,Not Valid
123,Not Valid
124,Not Valid
125,Not Valid
126,Not Valid
127,Not Valid
128,Not Valid
129,Not Valid
130,Not Valid
131,Not Valid
132,Not Valid
133,Not Valid
134,Not Valid
135,Not Valid
136,Not Valid
137,Not Valid
138,Not Valid
139,Not Valid
140,Not Valid
141,Not Valid
142,Not Valid
143,Not Valid
144,Not Valid
145,Not Valid
146,Not Valid
147,Not Valid
148,Not Valid
149,Not Valid
150,Not Valid
151,Not Valid
152,Not Valid
153,Not Valid
154,Not Valid
155,Not Valid
156,Not Valid
157,Not Valid
158,Not Valid
159,Not Valid
160,Not Valid
161,Not Valid
162,Not Valid
163,Not Valid
164,Not Valid
165,Not Valid
166,Not Valid
167,Not Valid
168,Not Valid
169,Not Valid
170,Not Valid
171,Not Valid
172,Not Valid
173,Not Valid
174,Not Valid
175,Not Valid
176,Not Valid
177,Not Valid
178,Not Valid
179,Not Valid
180,Not Valid
181,Not Valid
182,Not Valid
183,Not Valid
184,Not Valid
185,Not Valid
186,Not Valid
187,Not Valid
188,Not Valid
189,Not Valid
190,Not Valid
191,Not Valid
192,Not Valid
193,Not Valid
194,Not Valid
195,Not Valid
196,Not Valid
197,Not Valid
198,Not Valid
199,Not Valid
200,Not Valid
201,Not Valid
202,Not Valid
203,Not Valid
204,Not Valid
205,Not Valid
206,Not Valid
207,Not Valid
208,Not Valid
209,Not Valid
210,Not Valid
211,Not Valid
212,Not Valid
213,Not Valid
214,Not Valid
215,Not Valid
216,Not Valid
217,Not Valid
218,Not Valid
219,Not Valid
220,Not Valid
221,Not Valid
222,Not Valid
223,Not Valid
224,Not Valid
225,Not Valid
226,Not Valid
227,Not Valid
228,Not Valid
229,Not Valid
230,Not Valid
231,Not Valid
232,Not Valid
233,Not Valid
234,Not Valid
235,Not Valid
236,Not Valid
237,Not Valid
238,Not Valid
239,Not Valid
240,Not Valid
241,Not Valid
242,Not Valid
243,Not Valid
244,Not Valid
245,Not Valid
246,Not Valid
247,Not Valid
248,Not Valid
249,Not Valid
250,Not Valid
251,Not Valid
252,Not Valid
253,Not Valid
254,Not Valid
255,Not Valid
256,Not Valid
257,Not Valid
258,Not Valid
259,Not Valid
260,Not Valid
261,Not Valid
262,Not Valid
263,Not Valid
264,Not Valid
265,Not Valid
266,Not Valid
267,Not Valid
268,Not Valid
269,Not Valid
270,Not Valid
271,Not Valid
272,Not Valid
273,Not Valid
274,Not Valid
275,Not Valid
276,Not Valid
277,Not Valid
278,Not Valid
279,Not Valid
280,Not Valid
281,Not Valid
282,Not Valid
283,Not Valid
284,Not Valid
285,Not Valid
286,Not Valid
287,Not Valid
288,Not Valid
289,Not Valid
290,Not Valid
291,Not Valid
292,Not Valid
293,Not Valid
294,Not Valid
295,Not Valid
296,Not Valid
297,Not Valid
298,Not Valid
299,Not Valid
300,Not Valid
301,Not Valid
302,Not Valid
303,Not Valid
304,Not Valid
305,Not Valid
306,Not Valid
307,Not Valid
308,Not Valid
309,Not Valid
310,Not Valid
311,Not Valid
312,Not Valid
313,Not Valid
314,Not Valid
315,Not Valid
316,Not Valid
317,Not Valid
318,Not Valid
319,Not Valid
320,Not Valid
321,Not Valid
322,Not Valid
323,Not Valid
324,Not Valid
325,Not Valid
326,Not Valid
327,Not Valid
328,Not Valid
329,Not Valid
330,Not Valid
331,Not Valid
332,Not Valid
333,Not Valid
334,Not Valid
335,Not Valid
336,Not Valid
337,Not Valid
338,Not Valid
339,Not Valid
340,Not Valid
341,Not Valid
342,Not Valid
343,Not Valid
344,Not Valid
345,Not Valid
346,Not Valid
347,Not Valid
